code,system
1174251000000119,snomedct
1709191000006112,snomedct
1174251000000119,snomedct
1709191000006112,snomedct
AB63600,readv2
AB63600,readv2
133401000000117,snomedct
43tG.00,readv2
4JDC.00,readv2
1759711000006110,snomedct
1759711000006110,snomedct
1759721000006119,snomedct
483451000000113,snomedct
1759721000006119,snomedct
1761701000006115,snomedct
494701000006114,snomedct
1761701000006115,snomedct
43Q5.00,readv2
1786369019,snomedct
2352331000000118,snomedct
1786369019,snomedct
1793151000000113,snomedct
353241000000112,snomedct
43fH.00,readv2
193491000006112,snomedct
193491000006112,snomedct
AB63400,readv2
AB63400,readv2
216248013,snomedct
216249017,snomedct
43fA.00,readv2
43fB.00,readv2
2537721000006113,snomedct
2537721000006113,snomedct
2666231000006116,snomedct
2666231000006116,snomedct
2914521000006112,snomedct
2914521000006112,snomedct
4200931000006116,snomedct
No found code,snomedct
4200931000006116,snomedct
No found code,snomedct
459539017,snomedct
459540015,snomedct
43f0.00,readv2
43f1.00,readv2
975701000006115,snomedct
43fF.00,readv2
43jH.00,readv2
43kA.00,readv2